Posted Date,Reference Number,Payee,Address,Amount
06/13/2022,16473400000847000055244,"BA ELECTRONIC PAYMENT","",183.45
06/10/2022,82711162161000005702866,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-1.72
06/08/2022,82711162159000005872291,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-6.65
06/07/2022,55310202157083711947018,"AMZN MKTP US*JJ6PM3GC3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-91.54
06/07/2022,55432862157200196745634,"AMZN Mktp US*3O90P63Z3 Amzn.com/billWA","Amzn.com/bill WA ",-0.60
06/06/2022,55432862157200044844365,"COMCAST CALIFORNIA 800-COMCAST CA","800-COMCAST   CA ",-39.99
06/03/2022,82711162154000006073183,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-1.99
06/02/2022,55432862152200608591456,"PG&E WEBRECURRING 800-743-5000 CA","800-743-5000  CA ",-28.76
05/28/2022,82711162148000006143266,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-3.14
05/27/2022,82711162147000005836739,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-1.72
05/26/2022,82711162146000005689964,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-1.04
05/25/2022,82711162145000005445384,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-2.44
05/24/2022,82711162144000005454650,"ZEROCATER SAN FRANCISCOCA","SAN FRANCISCO CA ",-0.50
