Date,Name,Id,Amount,Source
6/24/2022,TARGET 00014720 HAYWARD,24164072174091007100688; 05310;,-8.85,Fidelity
6/22/2022,TST* SUNRIGHT TEA- UNI UNION CIT,24137462172100292941125; 05812;,-5.65,Fidelity
6/21/2022,TARGET 00014720 HAYWARD,24164072171091017435176; 05310;,-52.39,Fidelity
6/21/2022,CKE*HOM KOREAN KITCH 3 EMERYVILL,24445002171300438521664; 05812;,-27.21,Fidelity
6/21/2022,COSTCO WHSE #1061 HAYWARD,24943002169898002078657; 05300;,-52.73,Fidelity
6/14/2022,DIN DING DUMPLING HOUS UNION CIT,24765012164010000379074; 05812;,-45.77,Fidelity
6/14/2022,TENNYSON VALERO HAYWARD,24427332164120001445865; 05542;,-45.43,Fidelity
6/13/2022,88 MANOR MARKET HAYWARD,24765012163839002450900; 05411;,-9.59,Fidelity
6/6/2022,COSTCO WHSE #1061 HAYWARD,24943002155898002040190; 05300;,-55.43,Fidelity
5/24/2022,WAHLBURGERS PALO ALTO,24122592143018013322333; 05812;,-14.19,Fidelity
5/24/2022,FASTRAK CSC 415-486-8,24431062143075320683120; 04784;,-25,Fidelity
5/23/2022,COSTCO WHSE #1061 HAYWARD,24943002143898002044072; 05300;,-30.16,Fidelity
5/23/2022,99 RANCH #1783 NEWARK,24427332142740278312717; 05411;,-18.95,Fidelity
5/16/2022,COSTCO WHSE #1061 HAYWARD,24943002134898002080093; 05300;,-34.45,Fidelity
5/9/2022,88 MANOR MARKET HAYWARD,24765012128839002101929; 05411;,-15.75,Fidelity
5/9/2022,COSTCO WHSE #1061 HAYWARD,24943002127898002021393; 05300;,-29.16,Fidelity
4/29/2022,COSTCO WHSE #1061 HAYWARD,24943002119898002031467; 05300;,-47.04,Fidelity
4/25/2022,STREETLIGHT RECORDS SANTA CRU,24122592114030028516218; 05735;,-10.9,Fidelity
4/25/2022,FIVE GUYS CA 1768 QSR SANTA CRU,24445002114500331444407; 05814;,-27.38,Fidelity
4/25/2022,CHEVRON 0381825 SANTA CRU,24692162113100769556997; 05542;,-67.1,Fidelity
4/15/2022,COSTCO WHSE #1061 HAYWARD,24943002105898002035076; 05300;,-36.45,Fidelity
4/11/2022,COSTCO WHSE #1061 HAYWARD,24943002099898002083793; 05300;,-31.46,Fidelity
4/5/2022,2141 BERKELEY,24622752094100309371473; 05812;,-13.06,Fidelity
4/4/2022,BART-CLIPPER S HAYWARD 510464647,24492152094401310000048; 04111;,-20,Fidelity
3/29/2022,COSTCO WHSE #1061 HAYWARD,24943002088898002032595; 05300;,-40.84,Fidelity
3/24/2022,COSTCO WHSE #1061 HAYWARD,24943002083898002039025; 05300;,-40.75,Fidelity
3/18/2022,FOODMAXX #406 HAYWA HAYWARD,24427332076710032608064; 05411;,-26.04,Fidelity
3/14/2022,BART-CLIPPER EMBARCADE 510464647,24492152072401154000084; 04111;,-20,Fidelity
3/14/2022,COSTCO WHSE #1061 HAYWARD,24943002071898000089463; 05300;,-84.26,Fidelity
3/9/2022,FOODMAXX #406 HAYWA HAYWARD,24427332067710030970269; 05411;,-6.98,Fidelity
2/28/2022,TST* Mr. Digbys San Franci,24692162058100694479932; 05812;,-48.26,Fidelity
2/28/2022,TENNYSON VALERO HAYWARD,24427332057120001612597; 05542;,-54.34,Fidelity
