Date,Id,Name,Amount,Source,Type
2022-02-19,55310202049083345373302,AMAZON.COM*1S89M7CF3 A AMZN.COM/BILLWA,-127.1,Bank of America,Amazon
2022-02-17,55310202047083748923226,AMZN MKTP US*1B7FL0K71 AMZN.COM/BILLWA,-17.49,Bank of America,Amazon
2022-02-10,55310202040083321917840,AMAZON.COM*3C8BT42N3 A AMZN.COM/BILLWA,-36.14,Bank of America,Amazon
2022-02-07,55432862038200471513603,AMZN Mktp US*AE7UE7ZX3 Amzn.com/billWA,-54.3,Bank of America,Amazon
2022-02-07,55432862037200209788189,COMCAST CALIFORNIA 800-COMCAST CA,-38.99,Bank of America,Utilities
2022-02-01,55432862031200559808450,PG&E WEBRECURRING 800-743-5000 CA,-24.07,Bank of America,Utilities
2022-01-26,55310202025083372405876,AMAZON.COM*D814V1DP3 A AMZN.COM/BILLWA,-121.76,Bank of America,Amazon
2022-01-21,55310202020083713444639,AMZN MKTP US*JS4GE9FB3 AMZN.COM/BILLWA,-76.24,Bank of America,Amazon
2022-01-20,55436872019170193643467,CA DMV FEE 678-7315516 TN,-0.8200000000000001,Bank of America,Transportation
2022-01-19,55436872018160185164441,STATE OF CALIF DMV INT 800-7770133 CA,-39.0,Bank of America,Transportation
2022-01-12,55310202011083341013021,AMZN MKTP US*S931Z90X3 AMZN.COM/BILLWA,-753.08,Bank of America,Amazon
2022-01-11,55432862011200659641714,AMZN Mktp US*KJ7OI6WC3 Amzn.com/billWA,-121.4,Bank of America,Amazon
2022-01-10,55432862010200370810102,COMCAST CALIFORNIA 800-266-2278 CA,-1.0,Bank of America,Utilities
2022-07-11,24692162191100021922578; 05812;,TST* The FAB San Jose,-59.65,Fidelity,Restaurant
2022-07-11,24431062191081958618884; 08398;,THE TECH INTERACTIVE SAN JOSE,-34.0,Fidelity,Entertainment
2022-07-11,24943002190898002083288; 05300;,COSTCO WHSE #1061 HAYWARD,-39.04,Fidelity,Consumer Staples
2022-07-07,24688082187030021671523; 05812;,UC DESSERT OAKLAND,-10.64,Fidelity,Restaurant
2022-07-06,24055222186016288070002; 07523;,LAZ PKG 180103 - CENTE BERKELEY,-7.5,Fidelity,Transportation
2022-07-05,24269792186000674648831; 07933;,ROUND1 AM - SLM CA HAY HAYWARD,-22.0,Fidelity,Entertainment
2022-07-05,24765012185010000084653; 05812;,DIN DING DUMPLING HOUS UNION CIT,-79.54,Fidelity,Restaurant
2022-07-05,24013392185000372764020; 09399;,EAST BAY REG PARK DIST OAKLAND,-5.0,Fidelity,Entertainment
2022-07-05,24013392184000288809548; 05812;,WIPEOUT BAR & GRILL SAN FRANCI,-78.28,Fidelity,Restaurant
2022-07-05,24692162184100518659898; 07523;,IMPARK00270019A SAN FRANCI,-6.0,Fidelity,Transportation
2022-07-05,24164072184091017336890; 05310;,TARGET 00014720 HAYWARD,-22.62,Fidelity,Consumer Staples
2022-07-05,24692162184100880658742; 05499;,SQ *SHARETEA HAYWARD Hayward,-5.93,Fidelity,Restaurant
2022-07-05,24692162184100539306784; 07523;,IMPARK00270050A SAN FRANCI,-8.0,Fidelity,Transportation
2022-06-28,24943002179898002088720; 05300;,COSTCO WHSE #1061 HAYWARD,-92.48,Fidelity,Consumer Staples
2022-06-27,24269792178000806369884; 07933;,ROUND1 AM - SLM CA HAY HAYWARD,-22.0,Fidelity,Entertainment
2022-06-24,24164072174091007100688; 05310;,TARGET 00014720 HAYWARD,-8.85,Fidelity,Consumer Staples
2022-06-22,24137462172100292941125; 05812;,TST* SUNRIGHT TEA- UNI UNION CIT,-5.65,Fidelity,Restaurant
2022-06-21,24164072171091017435176; 05310;,TARGET 00014720 HAYWARD,-52.39,Fidelity,Consumer Staples
2022-06-21,24445002171300438521664; 05812;,CKE*HOM KOREAN KITCH 3 EMERYVILL,-27.21,Fidelity,Restaurant
2022-06-21,24943002169898002078657; 05300;,COSTCO WHSE #1061 HAYWARD,-52.73,Fidelity,Consumer Staples
2022-06-14,24765012164010000379074; 05812;,DIN DING DUMPLING HOUS UNION CIT,-45.77,Fidelity,Restaurant
2022-06-14,24427332164120001445865; 05542;,TENNYSON VALERO HAYWARD,-45.43,Fidelity,Gas
2022-06-13,24765012163839002450900; 05411;,88 MANOR MARKET HAYWARD,-9.59,Fidelity,Consumer Staples
2022-03-07,55432862065200720071730,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-03-03,55432862061200604370418,PG&E WEBRECURRING 800-743-5000 CA,-59.51,Bank of America,Utilities
2022-02-22,55432862052200730900741,INTUIT *TURBOTAX CL.INTUIT.COMCA,-20.0,Bank of America,Misc
2022-04-06,55432862096200043517529,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-04-05,55310202095083354242532,AMZN MKTP US*1H11E51P0 AMZN.COM/BILLWA,-28.72,Bank of America,Amazon
2022-03-31,55310202090200886402609,NCAL KAISER ONLINE PAY 8002012123 CA,-25.0,Bank of America,Healthcare
2022-03-31,55432862089200037934937,PG&E WEBRECURRING 800-743-5000 CA,-58.83,Bank of America,Utilities
2022-03-22,52704872080700459000535,WASTE MGMT WM EZPAY 8668342080 TX,-175.28,Bank of America,Utilities
2022-05-20,82711162140000005814790,ZEROCATER SAN FRANCISCOCA,-2.62,Bank of America,Restaurant
2022-05-20,55310202139083712456640,AMAZON.COM*1R38N4UL1 A AMZN.COM/BILLWA,-34.57,Bank of America,Amazon
2022-05-19,82711162139000005592209,ZEROCATER SAN FRANCISCOCA,-4.12,Bank of America,Restaurant
2022-05-18,82711162138000005531976,ZEROCATER SAN FRANCISCOCA,-4.52,Bank of America,Restaurant
2022-05-17,82711162137000005774338,ZEROCATER SAN FRANCISCOCA,-0.5,Bank of America,Restaurant
2022-05-10,15270212129344172218729,STEAMGAMES.COM 4259522 Bellevue WA,-8.98,Bank of America,Video Games
2022-05-09,55310202127083710283149,AMZN MKTP US*1L3X23J61 AMZN.COM/BILLWA,-88.15,Bank of America,Amazon
2022-05-06,55432862126200425988375,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-06-10,82711162161000005702866,ZEROCATER SAN FRANCISCOCA,-1.72,Bank of America,Restaurant
2022-06-08,82711162159000005872291,ZEROCATER SAN FRANCISCOCA,-6.65,Bank of America,Restaurant
2022-06-07,55310202157083711947018,AMZN MKTP US*JJ6PM3GC3 AMZN.COM/BILLWA,-91.54,Bank of America,Amazon
2022-06-07,55432862157200196745634,AMZN Mktp US*3O90P63Z3 Amzn.com/billWA,-0.6000000000000001,Bank of America,Amazon
2022-06-06,55432862157200044844365,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-06-03,82711162154000006073183,ZEROCATER SAN FRANCISCOCA,-1.99,Bank of America,Restaurant
2022-06-02,55432862152200608591456,PG&E WEBRECURRING 800-743-5000 CA,-28.76,Bank of America,Utilities
2022-05-28,82711162148000006143266,ZEROCATER SAN FRANCISCOCA,-3.14,Bank of America,Restaurant
2022-05-27,82711162147000005836739,ZEROCATER SAN FRANCISCOCA,-1.72,Bank of America,Restaurant
2022-05-26,82711162146000005689964,ZEROCATER SAN FRANCISCOCA,-1.04,Bank of America,Restaurant
2022-05-25,82711162145000005445384,ZEROCATER SAN FRANCISCOCA,-2.44,Bank of America,Restaurant
2022-05-24,82711162144000005454650,ZEROCATER SAN FRANCISCOCA,-0.5,Bank of America,Restaurant
2022-09-19,24943002261898002081096; 05300;,COSTCO WHSE #1061 HAYWARD,-22.27,Fidelity,Consumer Staples
2022-09-19,24943002261898100599239; 05542;,COSTCO GAS #1061 HAYWARD,-59.71,Fidelity,Gas
2022-09-19,24692162260107803221448; 05812;,TST* SliderBar - Palo 408-507-1,-14.18,Fidelity,Restaurant
2022-09-19,24692162260107719426255; 05812;,SQ *SALT & STRAW Palo Alto,-5.95,Fidelity,Restaurant
2022-09-16,24445002259000721173778; 07538;,FSP*302 -OIL CHANGER PLEASANTO,-61.72,Fidelity,Auto
2022-09-09,24164072251091007683168; 05310;,TARGET 00014720 HAYWARD,-33.26,Fidelity,Consumer Staples
2022-09-08,24943002251898005010045; 05300;,COSTCO WHSE #1061 HAYWARD,-1.66,Fidelity,Consumer Staples
2022-09-08,24943002251898002056686; 05300;,COSTCO WHSE #1061 HAYWARD,-95.37,Fidelity,Consumer Staples
2022-09-06,24692162247108312362812; 05814;,SQ *TAN-CHA SAN DIEGO,-6.5,Fidelity,Restaurant
2022-08-29,24269792241000839096556; 07933;,ROUND1 AM - ESC CA SAN SAN JOSE,-11.0,Fidelity,Entertainment
2022-08-29,24269792241000839096481; 07933;,ROUND1 AM - ESC CA SAN SAN JOSE,-20.0,Fidelity,Entertainment
2022-08-29,24013392240003221856313; 05812;,CHARLEYS GRILLED SUBS SAN JOSE,-8.19,Fidelity,Restaurant
2022-08-29,24164072240091017232901; 05310;,TARGET 00014720 HAYWARD,-15.72,Fidelity,Consumer Staples
2022-08-22,24943002232898002079435; 05300;,COSTCO WHSE #1061 HAYWARD,-79.79,Fidelity,Consumer Staples
2022-08-15,24427332226740278197638; 05411;,99 RANCH #1783 NEWARK,-13.22,Fidelity,Consumer Staples
2022-08-15,24692162227100331457461; 05045;,CENTRAL COMPUTERS OF E SANTA CLA,-287.89,Fidelity,Hobby
2022-08-15,24943002226898002064088; 05300;,COSTCO WHSE #0143 MOUNTAIN V,-7.7,Fidelity,Consumer Staples
2022-08-15,24492162225000036994665; 08398;,AT* COMPUTERHISTMUSEUM 151-04560,-27.0,Fidelity,Entertainment
2022-08-08,24427332219120002748718; 05542;,VIKHAR VALERO CUPERTINO,-65.53,Fidelity,Gas
2022-08-05,24943002217898002087940; 05300;,COSTCO WHSE #1061 HAYWARD,-91.19,Fidelity,Consumer Staples
2022-08-02,24037242213900013327969; 05812;,ASIAN BOX PALO ALTO PALO ALTO,-15.75,Fidelity,Restaurant
2022-07-25,24943002204898002086921; 05300;,COSTCO WHSE #1061 HAYWARD,-105.87,Fidelity,Consumer Staples
2022-07-18,24164072197091017198287; 05310;,TARGET 00014720 HAYWARD,-15.81,Fidelity,Consumer Staples
2022-06-06,24943002155898002040190; 05300;,COSTCO WHSE #1061 HAYWARD,-55.43,Fidelity,Consumer Staples
2022-05-24,24122592143018013322333; 05812;,WAHLBURGERS PALO ALTO,-14.19,Fidelity,Restaurant
2022-05-24,24431062143075320683120; 04784;,FASTRAK CSC 415-486-8,-25.0,Fidelity,Transportation
2022-05-23,24943002143898002044072; 05300;,COSTCO WHSE #1061 HAYWARD,-30.16,Fidelity,Consumer Staples
2022-05-23,24427332142740278312717; 05411;,99 RANCH #1783 NEWARK,-18.95,Fidelity,Consumer Staples
2022-05-16,24943002134898002080093; 05300;,COSTCO WHSE #1061 HAYWARD,-34.45,Fidelity,Consumer Staples
2022-05-09,24765012128839002101929; 05411;,88 MANOR MARKET HAYWARD,-15.75,Fidelity,Consumer Staples
2022-05-09,24943002127898002021393; 05300;,COSTCO WHSE #1061 HAYWARD,-29.16,Fidelity,Consumer Staples
2022-04-29,24943002119898002031467; 05300;,COSTCO WHSE #1061 HAYWARD,-47.04,Fidelity,Consumer Staples
2022-04-25,24122592114030028516218; 05735;,STREETLIGHT RECORDS SANTA CRU,-10.9,Fidelity,Hobby
2022-04-25,24445002114500331444407; 05814;,FIVE GUYS CA 1768 QSR SANTA CRU,-27.38,Fidelity,Restaurant
2022-04-25,24692162113100769556997; 05542;,CHEVRON 0381825 SANTA CRU,-67.1,Fidelity,Gas
2022-04-15,24943002105898002035076; 05300;,COSTCO WHSE #1061 HAYWARD,-36.45,Fidelity,Consumer Staples
2022-04-11,24943002099898002083793; 05300;,COSTCO WHSE #1061 HAYWARD,-31.46,Fidelity,Consumer Staples
2022-04-05,24622752094100309371473; 05812;,2141 BERKELEY,-13.06,Fidelity,BART
2022-04-04,24492152094401310000048; 04111;,BART-CLIPPER S HAYWARD 510464647,-20.0,Fidelity,BART
2022-03-29,24943002088898002032595; 05300;,COSTCO WHSE #1061 HAYWARD,-40.84,Fidelity,Consumer Staples
2022-03-24,24943002083898002039025; 05300;,COSTCO WHSE #1061 HAYWARD,-40.75,Fidelity,Consumer Staples
2022-03-18,24427332076710032608064; 05411;,FOODMAXX #406 HAYWA HAYWARD,-26.04,Fidelity,Consumer Staples
2022-03-14,24492152072401154000084; 04111;,BART-CLIPPER EMBARCADE 510464647,-20.0,Fidelity,BART
2022-03-14,24943002071898000089463; 05300;,COSTCO WHSE #1061 HAYWARD,-84.26,Fidelity,Consumer Staples
2022-03-09,24427332067710030970269; 05411;,FOODMAXX #406 HAYWA HAYWARD,-6.98,Fidelity,Consumer Staples
2022-02-28,24692162058100694479932; 05812; 9129;,TST* Mr. Digbys San Franci,-48.26,Fidelity,Restaurant
2022-02-28,24427332057120001612597; 05542; 9129;,TENNYSON VALERO HAYWARD,-54.34,Fidelity,Gas
2022-02-28,24943002057898000127634; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-105.92,Fidelity,Consumer Staples
2022-02-24,24427332054710029934271; 05411; 9129;,FOODMAXX #406 HAYWA HAYWARD,-5.01,Fidelity,Consumer Staples
2022-02-22,24492152050092445000326; 04111; 9129;,BART CLIPPER OAC 510464647,-20.0,Fidelity,BART
2022-02-14,24943002043898000134504; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-63.3,Fidelity,Consumer Staples
2022-02-07,24226382036400001327055; 05310; 9129;,WAL-MART #2031 UNION CIT,-19.96,Fidelity,Consumer Staples
2022-01-31,24943002029898000100248; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-79.99,Fidelity,Consumer Staples
2022-01-28,24431062027075032651218; 04784; 9129;,FASTRAK CSC 415-486-8,-25.0,Fidelity,Transportation
2022-01-24,24492152023401697000096; 04111; 9129;,BART-CLIPPER BERKELEY 510464647,-20.0,Fidelity,BART
2022-01-24,24943002022898002088638; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-37.05,Fidelity,Consumer Staples
2022-01-21,24431062021838000140571; 05411; 9129;,CHAVEZ SUPERMARKET HAYWARD,-16.23,Fidelity,Consumer Staples
2022-01-18,24164072016091007792262; 05310; 9129;,TARGET 00014720 HAYWARD,-25.8,Fidelity,Consumer Staples
2022-01-18,24492152017401154000033; 04111; 9129;,BART-CLIPPER EMBARCADE 510464647,-20.0,Fidelity,BART
2022-01-18,24445002015000770078626; 05912; 9129;,WALGREENS #2306 HAYWARD,-6.08,Fidelity,Consumer Staples
2022-01-18,24431052015838002061105; 05533; 9129;,O'REILLY AUTO PARTS 34 HAYWARD,-7.74,Fidelity,Auto
2022-01-12,24164072011091017146603; 05310; 9129;,TARGET 00014720 HAYWARD,-85.81,Fidelity,Consumer Staples
2022-01-11,24427332010120001142849; 05542; 9129;,TENNYSON VALERO HAYWARD,-21.47,Fidelity,Gas
2022-01-10,24164072009091008352677; 05310; 9129;,TARGET 00014225 FREMONT,-116.18,Fidelity,Consumer Staples
2022-01-10,24943002010898000159062; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-63.11,Fidelity,Consumer Staples
2022-01-10,24164072009091007337646; 05310; 9129;,TARGET 00014720 HAYWARD,-80.82,Fidelity,Consumer Staples
2022-01-10,24943002009898000128730; 05300; 9129;,COSTCO WHSE #1061 HAYWARD,-99.52,Fidelity,Consumer Staples
2022-01-07,24034542006000467798547; 05542; 9129;,7-ELEVEN 34358 SAN DIEGO,-29.81,Fidelity,Gas
2022-01-07,24034542006000467798497; 05542; 9129;,7-ELEVEN 34358 SAN DIEGO,-4.21,Fidelity,Gas
2022-01-07,24034542006000467798463; 05542; 9129;,7-ELEVEN 34358 SAN DIEGO,-0.42,Fidelity,Gas
