Name,Type
7-ELEVEN 34358 SAN DIEGO,Gas
BART CLIPPER OAC 510464647,BART
BART-CLIPPER BERKELEY 510464647,BART
BART-CLIPPER EMBARCADE 510464647,BART
BART-CLIPPER S HAYWARD 510464647,BART
CHAVEZ SUPERMARKET HAYWARD,Consumer Staples
CHEVRON 0381825 SANTA CRU,Gas
COSTCO WHSE #1061 HAYWARD,Consumer Staples
FASTRAK CSC 415-486-8,Transportation
FIVE GUYS CA 1768 QSR SANTA CRU,Restaurant
FOODMAXX #406 HAYWA HAYWARD,Consumer Staples
MCDONALDS F10996 SAN DIEGO,Restaurant
O'REILLY AUTO PARTS 34 HAYWARD,Auto
PAYMENT THANK YOU,Payment
STREETLIGHT RECORDS SANTA CRU,Hobby
TARGET 00014225 FREMONT,Consumer Staples
TARGET 00014720 HAYWARD,Consumer Staples
TENNYSON VALERO HAYWARD,Gas
TST* Mr. Digbys San Franci,Restaurant
WALGREENS #2306 HAYWARD,Consumer Staples
WAL-MART #2031 UNION CIT,Consumer Staples
BONCHON CA HIGHLANDS P SAN DIEGO,Restaurant
SWEETFIN POKE DEL MAR SAN DIEGO,Restaurant
CHICK-FIL-A #04130 WHITESTOW,Restaurant
TARGET 00033092 WEST LAFAY,Consumer Staples
TOFU HOUSE INC SAN DIEGO,Restaurant
TST* SUNRIGHT TEA- UNI UNION CIT,Restaurant
CKE*HOM KOREAN KITCH 3 EMERYVILL,Restaurant
DIN DING DUMPLING HOUS UNION CIT,Restaurant
88 MANOR MARKET HAYWARD,Consumer Staples
WAHLBURGERS PALO ALTO,Restaurant
99 RANCH #1783 NEWARK,Consumer Staples
2141 BERKELEY,BART
AMZN MKTP US*JS4GE9FB3 AMZN.COM/BILLWA,Amazon
STATE OF CALIF DMV INT 800-7770133 CA,Transportation
AMZN MKTP US*S931Z90X3 AMZN.COM/BILLWA,Amazon
AMZN Mktp US*KJ7OI6WC3 Amzn.com/billWA,Amazon
COMCAST CALIFORNIA 800-266-2278 CA,Utilities
AMAZON.COM*1S89M7CF3 A AMZN.COM/BILLWA,Amazon
AMZN MKTP US*1B7FL0K71 AMZN.COM/BILLWA,Amazon
AMAZON.COM*3C8BT42N3 A AMZN.COM/BILLWA,Amazon
AMZN Mktp US*AE7UE7ZX3 Amzn.com/billWA,Amazon
COMCAST CALIFORNIA 800-COMCAST CA,Utilities
PG&E WEBRECURRING 800-743-5000 CA,Utilities
AMAZON.COM*D814V1DP3 A AMZN.COM/BILLWA,Amazon
INTUIT *TURBOTAX CL.INTUIT.COMCA,Misc
AMZN MKTP US*1H11E51P0 AMZN.COM/BILLWA,Amazon
NCAL KAISER ONLINE PAY 8002012123 CA,Healthcare
WASTE MGMT WM EZPAY 8668342080 TX,Utilities
ZEROCATER SAN FRANCISCOCA,Restaurant
AMAZON.COM*1R38N4UL1 A AMZN.COM/BILLWA,Amazon
STEAMGAMES.COM 4259522 Bellevue WA,Video Games
AMZN MKTP US*1L3X23J61 AMZN.COM/BILLWA,Amazon
AMZN MKTP US*JJ6PM3GC3 AMZN.COM/BILLWA,Amazon
AMZN Mktp US*3O90P63Z3 Amzn.com/billWA,Amazon
TST* The FAB San Jose,Restaurant
THE TECH INTERACTIVE SAN JOSE,Entertainment
UC DESSERT OAKLAND,Restaurant
LAZ PKG 180103 - CENTE BERKELEY,Transportation
ROUND1 AM - SLM CA HAY HAYWARD,Entertainment
EAST BAY REG PARK DIST OAKLAND,Entertainment
WIPEOUT BAR & GRILL SAN FRANCI,Restaurant
IMPARK00270019A SAN FRANCI,Transportation
SQ *SHARETEA HAYWARD Hayward,Restaurant
IMPARK00270050A SAN FRANCI,Transportation
CA DMV FEE 678-7315516 TN,Transportation
COSTCO GAS #1061 HAYWARD,Gas
TST* SliderBar - Palo 408-507-1,Restaurant
SQ *SALT & STRAW Palo Alto,Restaurant
FSP*302 -OIL CHANGER PLEASANTO,Auto
SQ *TAN-CHA SAN DIEGO,Restaurant
ROUND1 AM - ESC CA SAN SAN JOSE,Entertainment
CHARLEYS GRILLED SUBS SAN JOSE,Restaurant
CENTRAL COMPUTERS OF E SANTA CLA,Hobby
COSTCO WHSE #0143 MOUNTAIN V,Consumer Staples
AT* COMPUTERHISTMUSEUM 151-04560,Entertainment
VIKHAR VALERO CUPERTINO,Gas
ASIAN BOX PALO ALTO PALO ALTO,Restaurant
SOUTHWES 5262143804919 800-435-9792 TX,Transportation
STEAM PURCHASE 425-9522985 WA,Video Games
AMAZON.COM*KO7C44GX3 A AMZN.COM/BILLWA,Amazon
AMZN MKTP US*1S8HY1320 AMZN.COM/BILLWA,Amazon
WWW COSTCO COM 800-955-2292 WA,Transportation
CASH REWARDS STATEMENT CREDIT,Cash Back
AMZN MKTP US*1M0JZ9N72 AMZN.COM/BILLWA,Amazon
SOUTHWES 5262164356035 800-435-9792 TX,Transportation
AMZN MKTP US*8058I3SI3 AMZN.COM/BILLWA,Amazon
AMZN MKTP US*D91H73ZJ3 AMZN.COM/BILLWA,Amazon
